pdb,release_date,deposit_date
5A6W,2015-08-26,2015-07-01
5ZNG,2018-10-24,2018-04-09
6FU9,2018-06-13,2018-02-26
6FUB,2018-06-13,2018-02-26
6FUD,2018-06-13,2018-02-26
6G10,2018-06-13,2018-03-20
6G11,2018-06-13,2018-03-20
6Q76,2019-07-10,2018-12-12
6R8K,2019-04-24,2019-04-02
6R8M,2019-04-24,2019-04-02
7A8W,2021-03-17,2020-08-31
7A8X,2021-02-03,2020-08-31
7B1I,2021-02-03,2020-11-24
7BNT,2021-02-17,2021-01-22
7CRB,2020-12-16,2020-08-13
7CRC,2020-12-16,2020-08-13
7JLU,2020-12-02,2020-07-30
7NLJ,2021-03-24,2021-02-22
7NMM,2021-03-24,2021-02-23
7P8K,2021-08-04,2021-07-23
7PP2,2022-06-29,2021-09-13
7QPX,2022-06-22,2022-01-05
7QZD,2022-06-22,2022-01-31
7XC2,2022-09-21,2022-03-22
7XVG,2022-09-28,2022-05-23
7XX2,2022-11-02,2022-05-28
8B2R,2022-10-19,2022-09-14
8BV0,2022-12-21,2022-12-01
8PFC,2023-07-05,2023-06-15
8PFD,2023-07-05,2023-06-15
8PQ7,2023-07-19,2023-07-10
8R7A,2024-01-31,2023-11-24
8R7D,2024-01-31,2023-11-24
9IMU,2025-07-09,2024-07-04
9IP6,2025-07-16,2024-07-10
9QLV,2026-04-08,2025-03-21
9QT4,2026-04-15,2025-04-07
9QU9,2026-04-22,2025-04-10
9QWW,2026-04-29,2025-04-15
9R8W,2026-05-13,2025-05-17
9RDC,2025-07-16,2025-06-02
9RIA,2025-07-23,2025-06-11
9RSV,2025-08-27,2025-07-01
