model,msa,pdb,predictor,status,queue,elapsed_s,standalone_elapsed_s,pct_cpu,rss_gb,peak_rss_gb,peak_vmem_gb
boltz2_constrained,no_msa,5A6W,boltz2_constrained,COMPLETED,jic-gpu,371,371,124.8,5.00,5.00,18.60
boltz1_constrained,no_msa,5A6W,boltz1_constrained,COMPLETED,jic-gpu,509,509,125.5,6.60,6.60,21.20
boltz1_constrained,no_msa,5ZNG,boltz1_constrained,COMPLETED,jic-gpu,422,422,148.7,6.60,6.60,20.80
boltz2_constrained,no_msa,5ZNG,boltz2_constrained,COMPLETED,jic-gpu,311,311,149.0,4.90,5.00,18.40
boltz2_constrained,no_msa,6FU9,boltz2_constrained,COMPLETED,jic-gpu,311,311,150.0,4.00,5.00,18.20
boltz1_constrained,no_msa,6FU9,boltz1_constrained,COMPLETED,jic-gpu,437,437,146.8,6.50,6.60,21.30
boltz2_constrained,no_msa,6FUB,boltz2_constrained,COMPLETED,jic-gpu,316,316,150.1,5.00,5.00,18.80
boltz1_constrained,no_msa,6FUB,boltz1_constrained,COMPLETED,jic-gpu,442,442,146.4,6.50,6.60,21.30
boltz2_constrained,no_msa,6FUD,boltz2_constrained,COMPLETED,jic-gpu,371,371,125.7,4.90,5.00,18.70
boltz1_constrained,no_msa,6FUD,boltz1_constrained,COMPLETED,jic-gpu,514,514,129.7,6.50,6.60,21.20
boltz2_constrained,no_msa,6G10,boltz2_constrained,COMPLETED,jic-gpu,317,317,152.5,5.00,5.00,18.70
boltz1_constrained,no_msa,6G10,boltz1_constrained,COMPLETED,jic-gpu,440,440,151.0,6.50,6.60,21.20
boltz2_constrained,no_msa,6G11,boltz2_constrained,COMPLETED,jic-gpu,310,310,149.2,4.50,5.00,18.00
boltz1_constrained,no_msa,6G11,boltz1_constrained,COMPLETED,jic-gpu,435,435,147.2,6.60,6.60,21.20
boltz2_constrained,no_msa,6Q76,boltz2_constrained,COMPLETED,jic-gpu,312,312,153.7,3.90,5.00,17.80
boltz1_constrained,no_msa,6Q76,boltz1_constrained,COMPLETED,jic-gpu,436,436,147.8,6.50,6.60,20.80
boltz2_constrained,no_msa,6R8K,boltz2_constrained,COMPLETED,jic-gpu,325,325,146.2,5.00,5.00,18.70
boltz1_constrained,no_msa,6R8K,boltz1_constrained,COMPLETED,jic-gpu,440,440,151.7,6.50,6.60,21.40
boltz2_constrained,no_msa,6R8M,boltz2_constrained,COMPLETED,jic-gpu,313,313,148.9,4.50,5.00,17.80
boltz1_constrained,no_msa,6R8M,boltz1_constrained,COMPLETED,jic-gpu,476,476,133.4,6.50,6.60,21.40
boltz2_constrained,no_msa,7A8W,boltz2_constrained,COMPLETED,jic-gpu,313,313,149.1,5.00,5.00,18.60
boltz1_constrained,no_msa,7A8W,boltz1_constrained,COMPLETED,jic-gpu,429,429,149.2,6.50,6.60,21.20
boltz2_constrained,no_msa,7A8X,boltz2_constrained,COMPLETED,jic-gpu,324,324,143.6,4.60,5.00,18.60
boltz1_constrained,no_msa,7A8X,boltz1_constrained,COMPLETED,jic-gpu,488,488,137.1,6.50,6.60,21.00
boltz2_constrained,no_msa,7BNT,boltz2_constrained,COMPLETED,jic-gpu,344,344,138.5,5.00,5.00,18.60
boltz1_constrained,no_msa,7BNT,boltz1_constrained,COMPLETED,jic-gpu,469,469,136.6,6.40,6.60,21.20
boltz2_constrained,no_msa,7QPX,boltz2_constrained,COMPLETED,jic-gpu,335,335,144.7,5.00,5.00,18.60
boltz1_constrained,no_msa,7QPX,boltz1_constrained,COMPLETED,jic-gpu,508,508,131.9,6.50,6.60,21.20
boltz1_constrained,no_msa,7QZD,boltz1_constrained,COMPLETED,jic-gpu,428,428,148.2,6.50,6.60,21.20
boltz2_constrained,no_msa,7QZD,boltz2_constrained,COMPLETED,jic-gpu,309,309,150.5,4.90,5.00,18.70
boltz1_constrained,no_msa,8B2R,boltz1_constrained,COMPLETED,jic-gpu,465,465,142.8,6.40,6.60,21.30
boltz2_constrained,no_msa,8B2R,boltz2_constrained,COMPLETED,jic-gpu,358,358,131.0,4.90,5.00,18.20
boltz1_constrained,no_msa,9IMU,boltz1_constrained,COMPLETED,jic-gpu,431,431,148.3,6.50,6.60,21.10
boltz2_constrained,no_msa,9IMU,boltz2_constrained,COMPLETED,jic-gpu,310,310,150.6,4.40,5.00,18.10
boltz2_constrained,no_msa,9IP6,boltz2_constrained,COMPLETED,jic-gpu,319,319,151.7,5.00,5.00,17.80
boltz1_constrained,no_msa,9IP6,boltz1_constrained,COMPLETED,jic-gpu,427,427,152.3,6.60,6.60,20.80
esmfold2,no_msa,5ZNG,esmfold2,COMPLETED,jic-gpu,316,316,329.7,14.70,16.90,41.60
chai1,no_msa,5ZNG,chai1,COMPLETED,jic-gpu,396,396,102.5,10.10,10.50,28.70
af3,no_msa,5ZNG,af3_nomsa,COMPLETED,jic-gpu,118,118,90.0,7.80,7.80,99.10
boltz1,no_msa,5ZNG,boltz1,COMPLETED,jic-gpu,463,463,139.7,6.40,6.60,20.50
colabfold,no_msa,5ZNG,colabfold_nomsa,COMPLETED,jic-gpu,357,357,204.5,2.50,2.50,18.10
af3,msa,5ZNG,af3,COMPLETED,jic-gpu,1446,1446,451.7,7.80,7.80,106.40
boltz2,no_msa,5ZNG,boltz2,COMPLETED,jic-gpu,309,309,148.7,4.90,5.00,18.40
boltz2,msa,5ZNG,boltz2_msa,COMPLETED,jic-gpu,311,3106,148.1,4.80,5.00,20.40
boltz1,msa,5ZNG,boltz1_msa,COMPLETED,jic-gpu,441,3236,145.6,7.00,7.00,24.20
af2m,msa,5ZNG,af2m,COMPLETED,jic-gpu,6393,6393,149.9,20.50,20.90,354.20
colabfold,msa,5ZNG,colabfold,COMPLETED,jic-gpu,395,3190,230.1,2.80,2.80,24.20
esmfold2,no_msa,6FU9,esmfold2,COMPLETED,jic-gpu,321,321,326.4,16.10,17.10,41.70
chai1,no_msa,6FU9,chai1,COMPLETED,jic-gpu,384,384,106.2,10.30,10.70,28.90
boltz1,no_msa,6FU9,boltz1,COMPLETED,jic-gpu,473,473,140.0,6.50,6.60,20.60
colabfold,no_msa,6FU9,colabfold_nomsa,COMPLETED,jic-gpu,388,388,189.8,2.50,2.60,18.10
af3,no_msa,6FU9,af3_nomsa,COMPLETED,jic-gpu,107,107,103.8,7.80,7.80,99.00
boltz2,no_msa,6FU9,boltz2,COMPLETED,jic-gpu,310,310,149.6,4.70,5.00,18.20
af3,msa,6FU9,af3,COMPLETED,jic-gpu,1651,1651,428.9,7.80,7.80,106.10
boltz2,msa,6FU9,boltz2_msa,COMPLETED,jic-gpu,314,1735,149.1,4.90,5.00,19.90
boltz1,msa,6FU9,boltz1_msa,COMPLETED,jic-gpu,461,1882,149.7,6.60,6.60,23.80
colabfold,msa,6FU9,colabfold,COMPLETED,jic-gpu,573,1994,187.4,2.80,2.90,24.20
af2m,msa,6FU9,af2m,COMPLETED,jic-gpu,6526,6526,154.0,28.40,28.70,361.40
esmfold2,no_msa,6FUB,esmfold2,COMPLETED,jic-gpu,280,280,339.3,15.60,16.90,41.60
chai1,no_msa,6FUB,chai1,COMPLETED,jic-gpu,383,383,107.6,11.40,11.70,30.00
boltz1,no_msa,6FUB,boltz1,COMPLETED,jic-gpu,441,441,142.7,6.50,6.60,20.60
af3,no_msa,6FUB,af3_nomsa,COMPLETED,jic-gpu,109,109,102.7,7.80,7.80,99.00
colabfold,no_msa,6FUB,colabfold_nomsa,COMPLETED,jic-gpu,461,461,167.5,2.50,2.60,18.10
boltz2,no_msa,6FUB,boltz2,COMPLETED,jic-gpu,319,319,146.6,4.90,5.00,18.80
boltz2,msa,6FUB,boltz2_msa,COMPLETED,jic-gpu,319,3113,148.6,5.00,5.00,19.90
boltz1,msa,6FUB,boltz1_msa,COMPLETED,jic-gpu,472,3266,149.0,6.60,6.60,23.80
af3,msa,6FUB,af3,COMPLETED,jic-gpu,1366,1366,492.0,7.80,7.80,106.40
colabfold,msa,6FUB,colabfold,COMPLETED,jic-gpu,652,3446,177.6,2.80,2.80,24.20
af2m,msa,6FUB,af2m,COMPLETED,jic-gpu,7503,7503,150.2,28.30,28.70,361.50
esmfold2,no_msa,6FUD,esmfold2,COMPLETED,jic-gpu,628,628,155.0,16.50,17.00,41.60
chai1,no_msa,6FUD,chai1,COMPLETED,jic-gpu,383,383,106.8,10.20,10.50,28.70
boltz1,no_msa,6FUD,boltz1,COMPLETED,jic-gpu,421,421,151.0,6.50,6.60,20.70
af3,no_msa,6FUD,af3_nomsa,COMPLETED,jic-gpu,105,105,103.6,7.80,7.80,99.00
colabfold,no_msa,6FUD,colabfold_nomsa,COMPLETED,jic-gpu,352,352,198.9,2.50,2.50,18.10
boltz2,no_msa,6FUD,boltz2,COMPLETED,jic-gpu,309,309,147.7,4.90,5.00,18.70
