pdb_a,pdb_b,system_a,system_b,same_system,receptor_identity,receptor_identity_over_alignment,receptor_substitutions,receptor_gap_positions,effector_identity,effector_identity_over_alignment,effector_substitutions,effector_gap_positions,min_identity,total_substitutions
5A6W,5ZNG,Pik,RGA5,False,53.42,49.37,34,6,17.74,11.83,41,41,17.74,75
5A6W,6FU9,Pik,Pik,True,63.01,57.5,26,8,100.0,95.4,0,4,63.01,26
5A6W,6FUB,Pik,Pik,True,65.75,59.26,25,8,98.8,88.17,1,10,65.75,26
5A6W,6FUD,Pik,Pik,True,61.64,56.25,25,10,96.3,93.98,3,2,61.64,28
5A6W,6G10,Pik,Pik,True,95.89,88.61,0,9,100.0,100.0,0,0,95.89,0
5A6W,6G11,Pik,Pik,True,93.15,87.18,0,10,98.78,97.59,1,1,93.15,1
5A6W,6Q76,Pik,Pik,True,97.26,94.67,0,4,20.59,13.73,35,53,20.59,35
5A6W,6R8K,Pik,Pik,True,95.89,87.5,0,10,100.0,100.0,0,0,95.89,0
5A6W,6R8M,Pik,Pik,True,98.63,92.31,1,5,98.78,97.59,1,1,98.63,2
5A6W,7A8W,Pik,Pik,True,95.89,90.91,0,7,97.47,92.77,2,4,95.89,2
5A6W,7A8X,Pik,Pik,True,95.89,90.91,0,7,97.5,93.98,2,3,95.89,2
5A6W,7BNT,Pik,Pik,True,89.04,86.67,8,2,100.0,98.81,0,1,89.04,8
5A6W,7QPX,Pik,Pik,True,93.15,88.31,1,8,97.53,95.18,2,2,93.15,3
5A6W,7QZD,Pik,Pik,True,94.52,87.34,1,9,95.12,93.98,4,1,94.52,5
5A6W,8B2R,Pik,RGA5,False,57.53,53.16,30,7,95.18,91.86,4,3,57.53,34
5A6W,9IMU,Pik,RGA5,False,50.68,47.44,33,8,100.0,97.59,0,2,50.68,33
5A6W,9IP6,Pik,RGA5,False,50.68,48.05,33,7,18.03,11.83,40,42,18.03,73
5ZNG,6FU9,RGA5,Pik,False,49.37,47.56,37,6,17.74,11.34,41,45,17.74,78
5ZNG,6FUB,RGA5,Pik,False,49.37,47.56,39,4,20.97,12.38,37,55,20.97,76
5ZNG,6FUD,RGA5,Pik,False,49.35,46.34,36,8,17.74,12.09,41,39,17.74,77
5ZNG,6G10,RGA5,Pik,False,50.0,46.91,36,7,17.74,11.83,41,41,17.74,77
5ZNG,6G11,RGA5,Pik,False,53.42,47.56,31,12,17.74,11.96,41,40,17.74,72
5ZNG,6Q76,RGA5,Pik,False,53.42,49.37,34,6,25.81,17.78,24,50,25.81,58
5ZNG,6R8K,RGA5,Pik,False,49.35,46.34,36,8,17.74,11.83,41,41,17.74,77
5ZNG,6R8M,RGA5,Pik,False,51.28,48.19,34,9,17.74,11.96,41,40,17.74,75
5ZNG,7A8W,RGA5,Pik,False,54.05,49.38,32,9,17.74,12.79,44,31,17.74,76
